"Name","Count"
"admin:panel","5"
"admin:warehouses","4"
"admin:bank:toggle","2"
"admin:banks","2"
"admin:operator:toggle","2"
"admin:operators","2"
"admin:product:toggle","2"
"admin:products","2"
"admin:stats:month","2"
"admin:stats:week","2"
"client:pay:","2"
"client:qty:","2"
"op:orders","2"
